epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
121,25216.7,1.43058,1.17869,1.43794,0.76404,0.64461,0.73454,0.42588,1.65397,1.23589,1.58516,0.000352037,0.000352037,0.000352037
122,25417.3,1.43086,1.18299,1.42155,0.76472,0.63868,0.73485,0.4276,1.65362,1.23606,1.5852,0.000344661,0.000344661,0.000344661
123,25617.9,1.41564,1.15945,1.4136,0.74586,0.65649,0.73326,0.42671,1.65538,1.23891,1.58388,0.000337325,0.000337325,0.000337325
124,25819,1.42715,1.17236,1.411,0.73672,0.66158,0.7338,0.42838,1.64967,1.23709,1.57841,0.00033003,0.00033003,0.00033003
125,26018.9,1.42187,1.17035,1.4236,0.74784,0.65225,0.7342,0.42958,1.64493,1.23182,1.57641,0.000322778,0.000322778,0.000322778
126,26217.5,1.43113,1.17481,1.42141,0.7377,0.66327,0.73599,0.42901,1.64904,1.2312,1.57625,0.000315572,0.000315572,0.000315572
127,26416.7,1.40786,1.16767,1.41369,0.7471,0.65903,0.73674,0.42857,1.6525,1.23357,1.57887,0.000308412,0.000308412,0.000308412
128,26614.2,1.40851,1.15424,1.41179,0.75669,0.65021,0.73871,0.42895,1.64922,1.23087,1.57601,0.0003013,0.0003013,0.0003013
129,26811.8,1.41292,1.1455,1.40985,0.74279,0.66135,0.73784,0.43007,1.65005,1.23102,1.5743,0.000294239,0.000294239,0.000294239
130,27011.6,1.41041,1.14041,1.41767,0.73656,0.66412,0.73654,0.42992,1.64765,1.23216,1.57227,0.00028723,0.00028723,0.00028723
131,27209.9,1.41243,1.14878,1.41035,0.74696,0.65903,0.73687,0.4299,1.64977,1.23218,1.57374,0.000280275,0.000280275,0.000280275
132,27409.5,1.37688,1.11622,1.38413,0.74268,0.66327,0.73699,0.42964,1.64936,1.23151,1.57424,0.000273375,0.000273375,0.000273375
133,27609.4,1.42051,1.1472,1.42043,0.74942,0.65572,0.736,0.4305,1.65175,1.23138,1.57465,0.000266532,0.000266532,0.000266532
134,27808.1,1.39873,1.13574,1.39379,0.75299,0.65352,0.7355,0.43018,1.65617,1.23383,1.57762,0.000259748,0.000259748,0.000259748
135,28008.4,1.39362,1.13951,1.40216,0.75287,0.65501,0.73594,0.42982,1.65541,1.23617,1.57674,0.000253024,0.000253024,0.000253024
136,28207.1,1.4134,1.12708,1.41211,0.74904,0.65903,0.73569,0.43007,1.65343,1.23179,1.57504,0.000246363,0.000246363,0.000246363
137,28407,1.3953,1.14082,1.40511,0.73831,0.66582,0.73613,0.42962,1.65445,1.23403,1.57623,0.000239766,0.000239766,0.000239766
138,28607.7,1.405,1.10903,1.40522,0.74159,0.66243,0.73409,0.42973,1.6569,1.23079,1.57666,0.000233234,0.000233234,0.000233234
139,28806.6,1.3901,1.11611,1.40012,0.743,0.66158,0.73575,0.43004,1.65797,1.22726,1.57644,0.000226769,0.000226769,0.000226769
140,29005.8,1.38717,1.13341,1.40562,0.73797,0.66667,0.73571,0.43017,1.65884,1.22416,1.57718,0.000220372,0.000220372,0.000220372
141,29205,1.41158,1.14057,1.4111,0.73983,0.66539,0.73606,0.43049,1.65883,1.22344,1.57606,0.000214046,0.000214046,0.000214046
142,29403.7,1.39615,1.10745,1.398,0.74496,0.66667,0.73574,0.42993,1.65895,1.22587,1.57763,0.000207792,0.000207792,0.000207792
143,29602,1.36163,1.0898,1.3671,0.75166,0.66362,0.73646,0.43022,1.65952,1.2259,1.57805,0.000201611,0.000201611,0.000201611
144,29800.5,1.3941,1.09859,1.40298,0.74961,0.66539,0.7367,0.42987,1.65981,1.22702,1.57947,0.000195505,0.000195505,0.000195505
145,29999,1.38864,1.11407,1.3928,0.74985,0.66497,0.73701,0.43091,1.66019,1.22972,1.58113,0.000189475,0.000189475,0.000189475
146,30197.3,1.38523,1.11781,1.38342,0.74468,0.66794,0.73734,0.43138,1.65895,1.23121,1.58095,0.000183523,0.000183523,0.000183523
147,30397.7,1.38367,1.11585,1.38782,0.74598,0.66878,0.73875,0.43265,1.65769,1.22974,1.58124,0.000177651,0.000177651,0.000177651
148,30598.8,1.39403,1.11851,1.38915,0.74508,0.67133,0.74001,0.43194,1.65766,1.2294,1.58286,0.000171859,0.000171859,0.000171859
