epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
118,10720,1.25439,0.9838,0.00833,0.77198,0.70567,0.78847,0.51781,1.32808,1.01172,0.01284,0.000370788,0.000123596,0.000370788,0.000123596,0.000370788,0.000123596,0.000370788,0.000123596
119,10809.4,1.25573,0.98381,0.00827,0.79416,0.6906,0.78834,0.51641,1.31094,1.01789,0.01262,0.000351215,0.000117072,0.000351215,0.000117072,0.000351215,0.000117072,0.000351215,0.000117072
120,10899.4,1.2562,1.00525,0.00849,0.80157,0.68342,0.78492,0.51389,1.31569,1.03651,0.01267,0.000332153,0.000110718,0.000332153,0.000110718,0.000332153,0.000110718,0.000332153,0.000110718
121,10989.2,1.24523,0.99255,0.00848,0.7861,0.69131,0.78463,0.51654,1.3211,1.01933,0.01284,0.00031361,0.000104537,0.00031361,0.000104537,0.00031361,0.000104537,0.00031361,0.000104537
122,11078.5,1.26266,1.01414,0.00865,0.80374,0.67193,0.78207,0.51336,1.32153,1.02108,0.01271,0.000295593,9.85311e-05,0.000295593,9.85311e-05,0.000295593,9.85311e-05,0.000295593,9.85311e-05
123,11168,1.24154,0.97614,0.0083,0.78371,0.69451,0.78773,0.51127,1.33943,1.00115,0.01291,0.000278112,9.2704e-05,0.000278112,9.2704e-05,0.000278112,9.2704e-05,0.000278112,9.2704e-05
124,11258.2,1.2484,0.98989,0.00815,0.79081,0.68557,0.78499,0.51524,1.31959,1.01745,0.01273,0.000261173,8.70577e-05,0.000261173,8.70577e-05,0.000261173,8.70577e-05,0.000261173,8.70577e-05
125,11347.6,1.23782,0.98189,0.00833,0.81551,0.66954,0.78322,0.51324,1.32876,1.01734,0.01284,0.000244784,8.15947e-05,0.000244784,8.15947e-05,0.000244784,8.15947e-05,0.000244784,8.15947e-05
126,11436.8,1.24794,0.99336,0.00807,0.78988,0.68557,0.78432,0.51355,1.33728,1.01205,0.01294,0.000228952,7.63174e-05,0.000228952,7.63174e-05,0.000228952,7.63174e-05,0.000228952,7.63174e-05
127,11526.7,1.25586,0.98083,0.0084,0.78794,0.69203,0.78983,0.51445,1.33893,1.01395,0.01289,0.000213685,7.12282e-05,0.000213685,7.12282e-05,0.000213685,7.12282e-05,0.000213685,7.12282e-05
