epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,5363,1.25124,1.00851,1.34514,0.75558,0.71788,0.78349,0.49042,1.36154,1.03083,1.42293,0.000525728,0.000525728,0.000525728
75,5436.52,1.27623,1.0326,1.36278,0.74763,0.70352,0.7758,0.49023,1.3433,1.03731,1.4069,0.000515366,0.000515366,0.000515366
76,5510.37,1.26251,1.03456,1.36658,0.77221,0.7155,0.78516,0.49325,1.34435,1.05822,1.41287,0.000505,0.000505,0.000505
77,5583.1,1.23823,0.99638,1.34105,0.77754,0.7229,0.79259,0.49753,1.35607,1.00473,1.41479,0.000494634,0.000494634,0.000494634
78,5655.61,1.25524,1.01329,1.36008,0.73978,0.73654,0.79011,0.49387,1.34669,1.01927,1.40931,0.000484272,0.000484272,0.000484272
79,5728.62,1.23515,0.99462,1.34852,0.76918,0.72146,0.79167,0.49782,1.334,0.99415,1.39568,0.000473919,0.000473919,0.000473919
80,5801.89,1.2361,0.9948,1.34385,0.75761,0.69777,0.77254,0.49206,1.30441,1.03532,1.39013,0.000463579,0.000463579,0.000463579
81,5874.53,1.2238,0.98801,1.33269,0.75432,0.72721,0.79288,0.49893,1.30636,1.02111,1.38347,0.000453258,0.000453258,0.000453258
82,5947.18,1.23956,1.00675,1.35644,0.7784,0.68988,0.77958,0.48801,1.32929,1.05818,1.39726,0.00044296,0.00044296,0.00044296
83,6020.16,1.22944,0.97832,1.34337,0.76976,0.71931,0.78621,0.49442,1.31994,1.01086,1.38742,0.000432689,0.000432689,0.000432689
84,6092.43,1.22357,0.99078,1.32662,0.78984,0.70685,0.79424,0.49746,1.3585,0.98564,1.40605,0.000422449,0.000422449,0.000422449
85,6164.96,1.2141,0.97142,1.33952,0.79903,0.71356,0.80611,0.51157,1.31394,0.97622,1.39226,0.000412246,0.000412246,0.000412246
86,6236.07,1.22202,0.97993,1.34924,0.773,0.70639,0.78983,0.4947,1.33711,1.00272,1.4017,0.000402084,0.000402084,0.000402084
87,6310.54,1.21417,0.96049,1.32952,0.74965,0.7351,0.80021,0.50067,1.34445,0.98869,1.38897,0.000391966,0.000391966,0.000391966
88,6381.34,1.20145,0.95277,1.32047,0.78876,0.71035,0.79159,0.50158,1.33948,0.97236,1.40057,0.000381899,0.000381899,0.000381899
89,6455.52,1.20273,0.94111,1.30662,0.80835,0.71141,0.81104,0.51179,1.30362,0.97256,1.37433,0.000371885,0.000371885,0.000371885
90,6527.66,1.22143,0.96053,1.33938,0.81711,0.70854,0.80764,0.50668,1.31624,0.96675,1.38942,0.000361929,0.000361929,0.000361929
91,6600.27,1.19247,0.93368,1.30746,0.77982,0.71953,0.80452,0.51013,1.30793,0.97748,1.37728,0.000352037,0.000352037,0.000352037
92,6673.36,1.20569,0.94434,1.32321,0.80402,0.715,0.80221,0.50896,1.30761,0.98173,1.38187,0.000342211,0.000342211,0.000342211
93,6744.46,1.19225,0.95128,1.32477,0.78477,0.71983,0.80669,0.51597,1.30435,0.95614,1.37549,0.000332457,0.000332457,0.000332457
94,6818.74,1.18705,0.92627,1.31156,0.79644,0.71141,0.80144,0.50901,1.3062,0.97625,1.38138,0.000322778,0.000322778,0.000322778
95,6892.65,1.18293,0.91293,1.30108,0.78844,0.72503,0.80629,0.51027,1.34686,0.95899,1.40673,0.00031318,0.00031318,0.00031318
96,6967.78,1.18349,0.9281,1.3102,0.8018,0.71141,0.79629,0.50173,1.3472,0.98378,1.41797,0.000303665,0.000303665,0.000303665
97,7041.45,1.2048,0.94054,1.33245,0.77561,0.72434,0.80311,0.51659,1.30099,0.94901,1.37042,0.000294239,0.000294239,0.000294239
98,7113.6,1.17463,0.90727,1.29808,0.79867,0.72049,0.79967,0.50673,1.33277,0.95713,1.3943,0.000284906,0.000284906,0.000284906
99,7186.25,1.17943,0.90241,1.30488,0.8229,0.71429,0.81724,0.51885,1.30709,0.94311,1.37565,0.000275668,0.000275668,0.000275668
