epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,7004.67,1.21058,0.92192,1.3157,0.79457,0.70065,0.78484,0.45689,1.48603,1.03646,1.48353,0.000284906,0.000284906,0.000284906
99,7076.46,1.20462,0.91884,1.32004,0.80603,0.71593,0.79359,0.44963,1.53704,1.0354,1.51326,0.000275668,0.000275668,0.000275668
100,7149.91,1.2133,0.93919,1.32017,0.8154,0.70567,0.79864,0.46008,1.48871,1.02673,1.49691,0.000266532,0.000266532,0.000266532
101,7221.87,1.18576,0.89703,1.30522,0.78908,0.71172,0.79461,0.45802,1.4977,1.02964,1.48834,0.0002575,0.0002575,0.0002575
102,7293.68,1.18444,0.89051,1.29355,0.8291,0.69562,0.80277,0.46985,1.48271,1.00065,1.4827,0.000248577,0.000248577,0.000248577
103,7366.04,1.19874,0.91633,1.30989,0.79821,0.71285,0.79586,0.4531,1.52514,1.02363,1.51198,0.000239766,0.000239766,0.000239766
104,7439.67,1.19434,0.9075,1.31394,0.81278,0.70854,0.8045,0.47153,1.45539,1.00117,1.46797,0.000231071,0.000231071,0.000231071
105,7512.02,1.20334,0.94405,1.32826,0.80311,0.70136,0.79232,0.4772,1.44143,1.00487,1.46283,0.000222497,0.000222497,0.000222497
106,7582.28,1.17281,0.88405,1.28708,0.80035,0.70782,0.79659,0.48246,1.41109,1.00334,1.44593,0.000214046,0.000214046,0.000214046
107,7655.56,1.2067,0.92412,1.31573,0.81076,0.72146,0.79914,0.46246,1.48585,1.01003,1.48058,0.000205723,0.000205723,0.000205723
108,7728.14,1.16956,0.87199,1.28245,0.82027,0.69562,0.79554,0.47065,1.46717,0.99721,1.47551,0.000197532,0.000197532,0.000197532
109,7798.77,1.16123,0.87827,1.29379,0.80375,0.70855,0.79253,0.45758,1.50102,1.01465,1.5001,0.000189475,0.000189475,0.000189475
110,7870.59,1.16921,0.87791,1.29677,0.7758,0.72505,0.79328,0.46187,1.48296,0.99992,1.48482,0.000181557,0.000181557,0.000181557
111,7941.75,1.16316,0.85562,1.26702,0.77771,0.72834,0.79535,0.46869,1.46084,0.97933,1.47608,0.00017378,0.00017378,0.00017378
112,8013.54,1.18354,0.89044,1.30558,0.80959,0.70998,0.80064,0.46554,1.49082,0.98405,1.49002,0.000166149,0.000166149,0.000166149
113,8085.05,1.17013,0.87802,1.29468,0.80334,0.71716,0.79663,0.46541,1.47982,0.99266,1.48112,0.000158667,0.000158667,0.000158667
114,8157.71,1.16846,0.87978,1.28556,0.81172,0.70711,0.797,0.46835,1.47599,0.98593,1.4803,0.000151336,0.000151336,0.000151336
115,8230.56,1.15302,0.86466,1.27582,0.79064,0.71716,0.79909,0.47753,1.42579,0.98049,1.44737,0.000144161,0.000144161,0.000144161
116,8303.02,1.17994,0.87771,1.30236,0.82401,0.70495,0.7996,0.48762,1.38859,0.98412,1.43024,0.000137143,0.000137143,0.000137143
117,8376.65,1.15804,0.86489,1.27843,0.79866,0.7308,0.79696,0.47702,1.42993,0.98046,1.45257,0.000130287,0.000130287,0.000130287
118,8447.89,1.16134,0.87071,1.27998,0.78274,0.73194,0.79857,0.47632,1.45361,0.98935,1.46063,0.000123596,0.000123596,0.000123596
119,8519.68,1.1555,0.86536,1.27612,0.82389,0.68772,0.79389,0.4736,1.45373,0.98364,1.46853,0.000117072,0.000117072,0.000117072
120,8591.86,1.16753,0.87458,1.29441,0.82404,0.70495,0.79605,0.47784,1.43291,0.9729,1.44766,0.000110718,0.000110718,0.000110718
121,8663.83,1.15699,0.86416,1.29045,0.80945,0.72721,0.80353,0.48577,1.43153,0.9577,1.45175,0.000104537,0.000104537,0.000104537
122,8735.76,1.16347,0.8795,1.28842,0.77983,0.73941,0.7977,0.47327,1.47282,0.97587,1.47748,9.85311e-05,9.85311e-05,9.85311e-05
123,8806.24,1.15013,0.85403,1.27754,0.81682,0.70744,0.79836,0.48101,1.43295,0.98093,1.44979,9.2704e-05,9.2704e-05,9.2704e-05
124,8876.55,1.15072,0.85665,1.27653,0.80823,0.715,0.79504,0.47824,1.43721,0.97943,1.45629,8.70577e-05,8.70577e-05,8.70577e-05
125,8947.77,1.14109,0.85147,1.27654,0.79227,0.71931,0.79252,0.46804,1.46367,0.99744,1.46826,8.15947e-05,8.15947e-05,8.15947e-05
126,9017.9,1.14426,0.85117,1.27472,0.78373,0.74143,0.80172,0.47672,1.44777,0.98561,1.46378,7.63174e-05,7.63174e-05,7.63174e-05
127,9089.68,1.15033,0.8497,1.281,0.83253,0.70424,0.80253,0.47371,1.46489,0.98535,1.46652,7.12282e-05,7.12282e-05,7.12282e-05
128,9162.3,1.15598,0.8625,1.28413,0.78393,0.73798,0.80241,0.47472,1.46354,0.97965,1.46987,6.63292e-05,6.63292e-05,6.63292e-05
129,9235.02,1.14426,0.84296,1.27315,0.8194,0.70027,0.79903,0.47423,1.45511,0.99086,1.46499,6.16227e-05,6.16227e-05,6.16227e-05
130,9306.73,1.14959,0.86338,1.28735,0.82276,0.70711,0.79973,0.47725,1.44498,0.97596,1.45096,5.71106e-05,5.71106e-05,5.71106e-05
131,9374.19,1.12353,0.79038,1.26309,0.82576,0.67408,0.77951,0.47023,1.42707,1.01889,1.47139,5.2795e-05,5.2795e-05,5.2795e-05
132,9437.7,1.11317,0.72979,1.25936,0.82964,0.69917,0.79094,0.46076,1.48242,0.98935,1.49523,4.86777e-05,4.86777e-05,4.86777e-05
133,9502.72,1.10187,0.72317,1.24636,0.7985,0.71405,0.79164,0.47908,1.42233,0.97919,1.44961,4.47606e-05,4.47606e-05,4.47606e-05
134,9566.47,1.07981,0.69155,1.23142,0.79237,0.71285,0.791,0.47384,1.44638,0.97697,1.46233,4.10454e-05,4.10454e-05,4.10454e-05
135,9629.59,1.09233,0.69789,1.23614,0.81711,0.70239,0.79462,0.47309,1.45363,0.97775,1.46766,3.75337e-05,3.75337e-05,3.75337e-05
136,9692.3,1.07918,0.68624,1.23662,0.79641,0.72173,0.79144,0.47427,1.44444,0.97684,1.46014,3.4227e-05,3.4227e-05,3.4227e-05
137,9755.57,1.09087,0.68673,1.23252,0.80271,0.72362,0.79518,0.4777,1.43555,0.97456,1.45261,3.11268e-05,3.11268e-05,3.11268e-05
